Element,Frequency
三百萬,1
第一次,1
林北,1
228坪,1
萬裡,1
600,1
一點錢,1
前年,1
漢語,1
2036年,1
鄭文燦,1
3399,1
宜順利,1
5萬,1
五十年前,1
清清,1
2300w,1
11億,1
新竹院,1
吳三桂,1
3.8,1
十二月,1
兩年多,1
15 少年,1
1500萬8,1
200%10,1
80歲,1
3000012,1
33000,1
七吋,1
30×0,1
0.3%,1
四五,1
20%,1
2×0.05,1
09三,1
賴清德蔡英,1
宜 柯文哲,1
林元,1
黃田,1
邱鴛鴦,1
東門町,1
南靖,1
146,1
十六,1
三青團嘉義分團,1
3月18日,1
盧炳,1
5日,1
1947年3月8日,1
薛,1
鴦,1
千百,1
23日,1
29歲,1
11日凌晨,1
林登科,1
荷,1
長柯遠芬,1
新生報,1
陳容貌,1
嘉義分團,1
彭孟緝,1
林玉芳,1
湯守仁,1
3月6日,1
1月,1
吳溪水,1
12月25日,1
彭,1
秦,1
林彪,1
岳,1
51,1
瀨清德,1
孫,1
小英,1
侯柯清楚,1
3月4日,1
1996年,1
賴耀欽,1
東門町軍營,1
1947年3月1日,1
35.93,1
陳陣,1
陸軍,1
蔡啟聰,1
陳顯宗,1
林文樹,1
4分鐘,1
十餘,1
2014年,1
美籍,1
 國民黨 民眾黨,1
候柯,1
王志安,1
1959,1
2025,1
傅,1
辛苦柯,1
①號,1
6日,1
張榮祥,1
什麼柯,1
20231231,1
美國共產黨,1
呂,1
13天,1
近年,1
謝謝侯,1
兩億,1
賴美德,1
威,1
資本論,1
國憲法,1
利益格局,1
1分17秒,1
賴公,1
3個月,1
欣欣,1
宏偉,1
鴻海集團,1
朗朗,1
半年,1
543/8年,1
新竹醫院,1
lie皮,1
柯勒,1
千斤,1
佩琪,1
蕭美,1
賴真,1
八年前十年前,1
惠,1
2.5萬,1
阿公阿,1
柯萊爾,1
第七分鐘,1
九千億,1
中天,1
20-29歲,1
39歲,1
八萬,1
45分50秒,1
國安局,1
1／13,1
1 號,1
賴清德水平,1
幾十秒,1
快兩年,1
宜趙少康,1
意國民黨,1
3000多億,1
紹柯,1
賴清,1
徐,1
侯漢廷,1
侯寶寶,1
滬寧,1
賴皮賴,1
 德綱,1
81.4%,1
好幾天,1
5%,1
喬瑟,1
曹,1
10年,1
寮寮,1
雲林張,1
羅,1
津津,1
基,1
復仇者聯盟,1
31歲,1
157,1
澤倫斯基,1
12月,1
賴皮寮阿,1
4年後,1
上萬坪,1
臺北市信義區,1
２９歲,1
陳佩琪,1
宜恩,1
773元,1
250平方,1
那天,1
下幾十年,1
85年3月,1
450 元,1
1億元,1
松壽路,1
250坪,1
55歲,1
欣,1
舒,1
200坪,1
60年,1
王,1
1000萬,1
五漢,1
萬歲,1
侯明明,1
2024/01/13,1
明臺灣,1
1~2分鐘,1
盈,1
旦,1
鹿港,1
1241,1
1066,1
３０,1
０,1
２０１６,1
２０２０,1
７０,1
公平,1
40 年,1
諾,1
宜安,1
侯23.7柯文哲,1
利柯,1
28歲,1
兩次,1
瑞芳,1
扁,1
聰慧,1
馬英,1
西亞人,1
1/1,1
1700億,1
7.5,1
2%,1
17%,1
道德,1
36歲,1
5分鐘,1
賴 ,1
阿德,1
第61,1
12天,1
非柯,1
4年8年,1
前之夜,1
30幾,1
817,1
80年,1
侯～空,1
1月13號,1
謝謝阿北,1
前太年,1
 柯,1
侯>賴,1
十天,1
10秒,1
林志,1
前藍天,1
MVP 柯,1
金,1
阿斗,1
七億,1
38歲,1
3%,1
10年後,1
一千多億,1
賴清德什,1
悅柯,1
下幾天,1
2022,1
宜真,1
十多年前,1
好國民黨,1
12秒,1
李光燿,1
賴什,1
幾年前,1
33三,1
八分鐘,1
113毫,1
十分鐘,1
8500億,1
104萬,1
八百萬,1
64歲,1
百億,1
金馬獎,1
塭仔圳,1
近兩億,1
一百年,1
斯坦,1
61歲,1
華夏,1
2024／01／13,1
4萬塊,1
萬裡公館,1
綠水,1
賴清德賴皮寮,1
柯郭韓宋,1
10年前,1
6-7年,1
李登輝,1
趙天麟,1
七八年,1
賴永,1
30k,1
23歲,1
賴皮功德,1
104,1
二十多年,1
1月13日,1
25歲,1
5年之內,1
三明,1
7點半,1
好新北市 ,1
111萬,1
辜寬敏,1
鄭,1
一年半,1
司儀,1
賴實,1
300元,1
何柯,1
2020年一月二日,1
5秒,1
整整兩年,1
5千英尺,1
88年,1
五月天,1
五十幾年,1
五十年,1
數近年,1
1989年,1
1951年,1
1959年,1
徐春鶯,1
十秒多,1
柯清廉,1
4年前,1
賴大哥,1
數千萬,1
扶柯,1
600萬,1
500萬,1
400萬,1
吳萼洋,1
1~10,1
桂芝,1
韓國瑜,1
柯吳,1
鍇,1
吳思瑤,1
1萬6000元,1
昱,1
2011,1
林楚茵,1
俄烏,1
前幾年,1
邱吉爾,1
三欣,1
70,1
上天,1
亞洲人,1
臺灣憲法,1
半斤,1
1-2號,1
19000000元,1
52坪,1
寶柯,1
1分鐘,1
70%,1
5.5坪,1
謝謝賴清德,1
百分之百,1
溫仔圳,1
餘年,1
美商,1
232天,1
21世紀,1
9千億,1
3000萬,1
以,1
蔣介石,1
7秒,1
1分53秒,1
又昱,1
老毛,1
陽津,1
阿瓦隆,1
22K,1
2016年,1
近年來,1
3090臺幣,1
九二共識,1
45歲,1
一萬,1
宜會,1
二十年後,1
四萬,1
凱旋院,1
康柯,1
5OO萬,1
宜趙,1
賴>柯,1
2千,1
77年,1
告臺灣同胞書,1
八年多,1
國貿局,1
柯粉,1
20~45歲,1
40幾年,1
80後,1
633,1
第七,1
2019年1月,1
2022/9/10,1
海峽,1
萬華,1
7萬,1
吳沛,1
第五,1
一千年,1
下兩年多,1
肖威,1
單一選區兩票制,1
中國人,1
香港廉政公署,1
7百,1
8千,1
2百,1
中國網軍,1
1070000元,1
三選一,1
1070元,1
共,1
柯文澤,1
130元,1
五年,1
澤連斯基賴清德,1
亞努科維奇,1
十萬八千里,1
兩百萬,1
49年,1
賴昌,1
１號,1
OKOK0K侯康,1
1-2百萬,1
南海,1
一斗,1
53歲,1
亞東聯邦,1
臺灣國民黨,1
老鄧,1
張加語,1
江湖,1
17歲,1
清楚明,1
賴清德5柯,1
臺文,1
林俊憲,1
四秒,1
1千三百多億,1
12%,1
37歲,1
570億,1
14多億,1
黑金,1
2.02,1
果普丁,1
7000,1
侯阿德,1
112,1
26歲,1
鄧,1
第四年,1
2024/1/14號,1
第8年,1
第12年,1
叄,1
前三年,1
臺灣元,1
10天,1
兩百多億,1
三度,1
2020,1
下午午,1
2024/1/14,1
120,1
2號3號,1
5天,1
葡萄牙人,1
半年前,1
侯文哲,1
侯閩,1
功德院,1
西亞,1
侯  柯,1
十幾萬,1
好市長,1
毛澤,1
賴 柯,1
1號1號,1
汪,1
花蓮傅,1
阿米巴,1
20多年前,1
果侯康,1
健康,1
侯真,1
重憲法,1
數月,1
28元,1
35元,1
27470元,1
12840000元,1
雲林,1
彰化謝,1
北七,1
袁世凱,1
侯 賴,1
周慧,1
一兩天,1
1柯文哲,1
2023.04.21,1
74年,1
臺軍,1
義,1
8萬坪,1
中國大陸憲法,1
18-65歲,1
威阿北,1
瑜,1
30-40,1
英語,1
70億,1
28分,1
九年前,1
賴淸德,1
10幾,1
12 月 27 日,1
000 美元,1
300 美元,1
凱雯,1
20240113,1
